"page_url","event_category","event_subcategory","event_action","event_content","site_section","page_language","page_type","page_customer_group","product_category","page_name","page_category","page_subcategory","funnel_name","funnel_step","funnel_step_name","application_event","application_decision","form_field_1","error_type"
"/dual-account-opening/lead-in","","","","","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","",""
"/dual-account-opening/lead-in","content","","radio","international service: Yes","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","",""
"/dual-account-opening/lead-in","content","","radio","international service: No","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","",""
"/dual-account-opening/lead-in","content","","radio","international service: Yes","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","",""
"/dual-account-opening/lead-in","content","","checkbox","international service: Yes","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","",""
"/dual-account-opening/lead-in","content","","checkbox","international service: Yes","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","",""
"/dual-account-opening/lead-in","content","","checkbox","international service: Yes","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","",""
"/dual-account-opening/lead-in","content","","checkbox","international service: Yes","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","",""
"/dual-account-opening/lead-in","content","","checkbox","international service: Yes","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","",""
"/dual-account-opening/lead-in","content","","checkbox","international service: Yes","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","",""
"/dual-account-opening/lead-in","content","","dropdown","oversea destination: HK","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","",""
"/dual-account-opening/lead-in","content","","radio","apply CAT I account","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","",""
"/dual-account-opening/lead-in","content","","radio","apply cn account and oversea account","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","",""
"/dual-account-opening/step-overview","","","","","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:step overview","dual account opening","step overview","dual account opening","1","Step 1 - step overview","started","","",""
"/dual-account-opening/step-overview","content","","checkbox","agree: authorize third party","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:step overview","dual account opening","step overview","dual account opening","","Step 1 - step overview","","","",""
"/dual-account-opening/step-overview","content","","checkbox","agree: personal data collection","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:step overview","dual account opening","step overview","dual account opening","","Step 1 - step overview","","","",""
"/dual-account-opening/otp-registration","","","","","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:otp registration","dual account opening","otp registration","dual account opening","2","Step 2 - otp registration","","","",""
"/dual-account-opening/otp-registration","content","","button","send","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:otp registration","dual account opening","otp registration","dual account opening","","Step 2 - otp registration","","","",""
"/dual-account-opening/otp-registration","","","","","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:otp registration","dual account opening","otp registration","dual account opening","","Step 2 - otp registration","","","",""
"/dual-account-opening/otp-registration","content","","button","resend","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:otp registration","dual account opening","otp registration","dual account opening","","Step 2 - otp registration","","","",""
"/dual-account-opening/scan-id","","","","","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:scan id","dual account opening","scan id","dual account opening","3","Step 3 - scan id","","","",""
"/dual-account-opening/scan-id","content","","popup","instructions","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:scan id","dual account opening","scan id","dual account opening","","Step 3 - scan id","","","",""
"/dual-account-opening/scan-id","error","","upload","upload error: [id_nonclear_issue] ocrnotclearexception:failed to recognize the image,please capture a new one","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:scan id","dual account opening","scan id","dual account opening","","Step 3 - scan id","","","","upload"
"/dual-account-opening/personal-details","","","","","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:personal details","dual account opening","personal details","dual account opening","4","Step - 4personal details","","","",""
"/dual-account-opening/contact-details","","","","","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:contact details","dual account opening","contact details","dual account opening","5","Step 5 - contact details","","","",""
"/dual-account-opening/employment-details","","","","","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:employment details","dual account opening","employment details","dual account opening","6","Step - 6 employment details","","","",""
"/dual-account-opening/employment-details","content","","dropdown","ocupation: manager_administrator","wechat","zh_cn","application","general","debit cards","wechat:dual account opening:employment details","dual account opening","","dual account opening","","","","","",""
