"page_url","event_category","event_subcategory","event_action","event_content","site_section","page_language","page_type","page_customer_group","customer_group","page_business_line","page_security_level","product_category","product_subcategory","product_id","page_name","page_category","page_subcategory","funnel_name","funnel_step","funnel_step_name","application_event","application_decision","internal_reference_id","first_product","product_offered","application_id","downsell_event","upsell_event","form_field_1","form_field_2","form_field_3","form_field_4","form_field_5","account_type","start_amount","amount","currency_code","term","interest_rate","transaction_id","transaction_event","transaction_name","transaction_charge_type","transaction_currency_pair","transaction_purpose","payment_type","tool_name","tool_type","tool_event","site_country","site_region","customer_id","search_scope","search_term","search_results","search_category","search_action","search_result_position","search_name","error_type"
"/dual-account-opening/lead-in","content","","radio","international service: No","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","radio","international service: Yes","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","checkbox","cross border transfer purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","checkbox","deposit purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","checkbox","education payment purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","checkbox","oversea remuneration purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","checkbox","oversea consultancy purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","checkbox","oversea consultancy purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","dropdown","oversea destination: HK","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","radio","apply  CAT I account","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:overview","dual account opening","overview","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
