"page_url","event_category","event_subcategory","event_action","event_content","site_section","page_language","page_type","page_customer_group","customer_group","page_business_line","page_security_level","product_category","product_subcategory","product_id","page_name","page_category","page_subcategory","funnel_name","funnel_step","funnel_step_name","application_event","application_decision","internal_reference_id","first_product","product_offered","application_id","downsell_event","upsell_event","form_field_1","form_field_2","form_field_3","form_field_4","form_field_5","account_type","start_amount","amount","currency_code","term","interest_rate","transaction_id","transaction_event","transaction_name","transaction_charge_type","transaction_currency_pair","transaction_purpose","payment_type","tool_name","tool_type","tool_event","site_country","site_region","customer_id","search_scope","search_term","search_results","search_category","search_action","search_result_position","search_name","error_type"
"/dual-account-opening/lead-in","content","","checkbox","deposit purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:lead in","dual account opening","lead in","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","checkbox","cross border transfer purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:lead in","dual account opening","lead in","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","checkbox","education payment purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:lead in","dual account opening","lead in","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","checkbox","oversea remuneration purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:lead in","dual account opening","lead in","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","checkbox","daily oversea expense","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:lead in","dual account opening","lead in","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","checkbox","oversea consultancy purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:lead in","dual account opening","lead in","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","radio","international service: No","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:lead in","dual account opening","lead in","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","radio","international service: Yes","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:lead in","dual account opening","lead in","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","checkbox","deposit purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:lead in","dual account opening","lead in","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","checkbox","cross border transfer purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:lead in","dual account opening","lead in","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","checkbox","education payment purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:lead in","dual account opening","lead in","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","checkbox","oversea remuneration purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:lead in","dual account opening","lead in","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","checkbox","daily oversea expense","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:lead in","dual account opening","lead in","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","checkbox","oversea consultancy purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:lead in","dual account opening","lead in","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","dropdown","oversea destination: CA","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:lead in","dual account opening","lead in","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","dropdown","oversea destination: FR","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:lead in","dual account opening","lead in","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","dropdown","oversea destination: MO","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:lead in","dual account opening","lead in","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","dropdown","oversea destination: HK","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:lead in","dual account opening","lead in","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","radio","apply  CAT I account","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:lead in","dual account opening","lead in","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/lead-in","content","","radio","apply cn account and oversea account","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:lead in","dual account opening","lead in","dual account opening","","welcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/scan-id","","","","","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:scan id","dual account opening","scan id","dual account opening","1","Step 1 - scan id","started","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/scan-id","content","","popup","instructions","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:scan id","dual account opening","scan id","dual account opening","","Step 1 - scan id","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/scan-id","error","","upload","upload error: [id_upload_issue] ocrwrongsideexception:occured an error when requesting to ocrpapi:wrong side cause-feignhandlingexception:[client_service_err] feignexception! methodkey:ocrpapiclient#getocrinfo(papiocrrequest), url:http://hkg3vl7515o.hk.hsbc:17203/api/ocr/info, status:510, body:errorresponse(responsestatus=responsestatus(requestcorrelation=e05d68d1-380c-4436-8d3a-5dd97c939053, sessioncorrelation=c2139875-9d25-46c6-bd86-f16e2f45430a, errorinfo=[errorinfo(code=id_upload_issue, message=sorry, something went wrong. please contact your local hsbc bank, details=[id_upload_issue] ocrwrongsideexception:[id_upload_issue] ocrwrongsideexception:please make sure you're uploading the correct side of your id cause-feignhandlingexception:[client_service_err] feignexception! methodkey:ocrsapiclient#getocrinfo(sapiocrrequest), url:http://hkg3vl7515o.hk.hsbc:17303/api/ocr/info, status:510, body:errorresponse(responsestatus=responsestatus(requestcorrelation=e05d68d1-380c-4436-8d3a-5dd97c939053, sessioncorrelation=c2139875-9d25-46c6-bd86-f16e2f45430a, errorinfo=[errorinfo(code=id_upload_issue, message=sorry, something went wrong. please contact your local hsbc bank, details=[id_upload_issue] ocrwrongsideexception:please make sure you're uploading the correct side of your id)])))]))","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:scan id","dual account opening","scan id","dual account opening","","Step 1 - scan id","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","upload"
"/dual-account-opening/personal-details","","","","","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:personal details","dual account opening","personal details","dual account opening","2","Step 2 - personal details","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/contact-details","","","","","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:contact details","dual account opening","contact details","dual account opening","3","Step 3 - contact details","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/employment-details","","","","","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:employment details","dual account opening","employment details","dual account opening","4","Step 4 -employment details","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/employment-details","content","","dropdown","ocupation: general_staff","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:employment details","dual account opening","employment details","dual account opening","","Step 4 -employment details","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/employment-details","content","","dropdown","country of tax residency: foreign country","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:employment details","dual account opening","employment details","dual account opening","","Step 4 -employment details","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/employment-details","content","","dropdown","country of tax residency: cn and other regions","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:employment details","dual account opening","employment details","dual account opening","","Step 4 -employment details","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/employment-details","content","","dropdown","country of tax residency: cn","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:employment details","dual account opening","employment details","dual account opening","","Step 4 -employment details","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/cn-account-usage","","","","","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:cn account usage","dual account opening","cn account usage","dual account opening","5","Step 5 - cn account usage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/cn-account-usage","content","","checkbox","remuneration purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:cn account usage","dual account opening","cn account usage","dual account opening","","Step 5 - cn account usage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/cn-account-usage","content","","checkbox","family account purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:cn account usage","dual account opening","cn account usage","dual account opening","","Step 5 - cn account usage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/cn-account-usage","content","","checkbox","cards and loans purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:cn account usage","dual account opening","cn account usage","dual account opening","","Step 5 - cn account usage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/cn-account-usage","content","","checkbox","deposit purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:cn account usage","dual account opening","cn account usage","dual account opening","","Step 5 - cn account usage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/cn-account-usage","content","","checkbox","investment purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:cn account usage","dual account opening","cn account usage","dual account opening","","Step 5 - cn account usage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/cn-account-usage","content","","checkbox","other purpose","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:cn account usage","dual account opening","cn account usage","dual account opening","","Step 5 - cn account usage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/cn-account-usage","content","","radio","deposit contributers: yes","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:cn account usage","dual account opening","cn account usage","dual account opening","","Step 5 - cn account usage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"/dual-account-opening/cn-account-usage","content","","textbox","contribution amount","wechat","zh_cn","application","general","","","","debit cards","","","wechat:dual account opening:cn account usage","dual account opening","cn account usage","dual account opening","","Step 5 - cn account usage","","","","","","","","","monthly contribution: 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
