"page_name","page_url","page_type","event_action","event_content","site_section","page_language"
"wechat:dual account opening:overview","/dual-account-opening/lead-in","application","","","wechat","zh_cn"
"wechat:dual account opening:overview","/dual-account-opening/lead-in","application","radio","international service: Yes","wechat","zh_cn"
"wechat:dual account opening:overview","/dual-account-opening/lead-in","application","radio","international service: No","wechat","zh_cn"
"wechat:dual account opening:overview","/dual-account-opening/lead-in","application","radio","international service: Yes","wechat","zh_cn"
"wechat:dual account opening:overview","/dual-account-opening/lead-in","application","checkbox","international service: Yes","wechat","zh_cn"
"wechat:dual account opening:overview","/dual-account-opening/lead-in","application","checkbox","international service: Yes","wechat","zh_cn"
"wechat:dual account opening:overview","/dual-account-opening/lead-in","application","checkbox","international service: Yes","wechat","zh_cn"
"wechat:dual account opening:overview","/dual-account-opening/lead-in","application","checkbox","international service: Yes","wechat","zh_cn"
"wechat:dual account opening:overview","/dual-account-opening/lead-in","application","checkbox","international service: Yes","wechat","zh_cn"
"wechat:dual account opening:overview","/dual-account-opening/lead-in","application","checkbox","international service: Yes","wechat","zh_cn"
"wechat:dual account opening:overview","/dual-account-opening/lead-in","application","dropdown","oversea destination: AU","wechat","zh_cn"
"wechat:dual account opening:overview","/dual-account-opening/lead-in","application","dropdown","oversea destination: HK","wechat","zh_cn"
"wechat:dual account opening:overview","/dual-account-opening/lead-in","application","radio","apply CAT I account","wechat","zh_cn"
"wechat:dual account opening:overview","/dual-account-opening/lead-in","application","radio","apply cn account and oversea account","wechat","zh_cn"
"wechat:dual account opening:step overview","/dual-account-opening/step-overview","application","radio","apply cn account and oversea account","wechat","zh_cn"
"wechat:dual account opening:step overview","/dual-account-opening/step-overview","application","checkbox","agree authorize third party: Yes","wechat","zh_cn"
"wechat:dual account opening:step overview","/dual-account-opening/step-overview","application","checkbox","agree personal data collection: Yes","wechat","zh_cn"
"wechat:dual account opening:otp registration","/dual-account-opening/otp-registration","application","checkbox","agree personal data collection: Yes","wechat","zh_cn"
"wechat:dual account opening:otp registration","/dual-account-opening/otp-registration","application","button","send","wechat","zh_cn"
"wechat:dual account opening:otp registration","/dual-account-opening/otp-registration","application","button","send","wechat","zh_cn"
"wechat:dual account opening:otp registration","/dual-account-opening/otp-registration","application","button","send","wechat","zh_cn"
"wechat:dual account opening:otp registration","/dual-account-opening/otp-registration","application","button","send","wechat","zh_cn"
"wechat:dual account opening:otp registration","/dual-account-opening/otp-registration","application","button","resend","wechat","zh_cn"
"wechat:dual account opening:otp registration","/dual-account-opening/otp-registration","application","registration","error message: CLIENT_SERVICE_ERR","wechat","zh_cn"
"wechat:dual account opening:personal details","/dual-account-opening/personal-details","application","registration","error message: CLIENT_SERVICE_ERR","wechat","zh_cn"
"wechat:dual account opening:contact details","/dual-account-opening/contact-details","application","registration","error message: CLIENT_SERVICE_ERR","wechat","zh_cn"
"wechat:dual account opening:employment details","/dual-account-opening/employment-details","application","registration","error message: CLIENT_SERVICE_ERR","wechat","zh_cn"
"wechat:dual account opening:employment details","/dual-account-opening/employment-details","application","dropdown","ocupation: general_staff","wechat","zh_cn"
"wechat:dual account opening:employment details","/dual-account-opening/employment-details","application","dropdown","country of tax residency: cn","wechat","zh_cn"
"wechat:dual account opening:cn account usage","/dual-account-opening/cn-account-usage","application","dropdown","country of tax residency: cn","wechat","zh_cn"
"wechat:dual account opening:cn account usage","/dual-account-opening/cn-account-usage","application","link","deposit contributers: no","wechat","zh_cn"
"wechat:dual account opening:cn account usage","/dual-account-opening/cn-account-usage","application","checkbox","remuneration purpose","wechat","zh_cn"
"wechat:dual account opening:cn account usage","/dual-account-opening/cn-account-usage","application","checkbox","deposit purpose","wechat","zh_cn"
"wechat:dual account opening:cn account usage","/dual-account-opening/cn-account-usage","application","checkbox","investment purpose","wechat","zh_cn"
"wechat:dual account opening:cn account usage","/dual-account-opening/cn-account-usage","application","checkbox","family account purpose","wechat","zh_cn"
"wechat:dual account opening:cn account usage","/dual-account-opening/cn-account-usage","application","checkbox","cards and loans purpose","wechat","zh_cn"
"wechat:dual account opening:cn account usage","/dual-account-opening/cn-account-usage","application","checkbox","other purpose","wechat","zh_cn"
