"page_url","page_name","event_category","event_action","event_content","page_type","site_section","page_language"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","","","","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","checkbox","deposit purpose","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","checkbox","deposit purpose","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","checkbox","cross border transfer purpose","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","checkbox","education payment purpose","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","dropdown","oversea destination: HK","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","apply cn account and oversea account","application","wechat","zh_cn"
"/dual-account-opening/personal-details","wechat:dual account opening:personal details","","","","application","wechat","zh_cn"
"/dual-account-opening/contact-details","wechat:dual account opening:contact details","","","","application","wechat","zh_cn"
"/dual-account-opening/employment-details","wechat:dual account opening:employment details","","","","application","wechat","zh_cn"
"/dual-account-opening/employment-details","wechat:dual account opening:employment details","content","dropdown","ocupation: student","application","wechat","zh_cn"
"/dual-account-opening/employment-details","wechat:dual account opening:employment details","content","dropdown","country of tax residency: cn","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","","","","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","radio","deposit contributers: no","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","checkbox","investment purpose","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","checkbox","cards and loans purpose","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","radio","deposit contributers: yes","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","textbox","contribution amount","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","textbox","contribution amount","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","textbox","contribution amount","application","wechat","zh_cn"
"/dual-account-opening/terms-and-conditions","wechat:dual account opening:terms and conditions","","","","application","wechat","zh_cn"
"/dual-account-opening/terms-and-conditions","wechat:dual account opening:terms and conditions","content","dropdown","branch: GCH","application","wechat","zh_cn"
"/dual-account-opening/terms-and-conditions","wechat:dual account opening:terms and conditions","content","radio","mailing address: home","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","","","","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","radio","valid entry-exit permit more than 3 months: no","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","radio","valid visa label more than 3 months: no","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","checkbox","agree t&c and contact","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","checkbox","agree t&c and contact","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","radio","valid entry-exit permit more than 3 months: yes","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","checkbox","agree t&c and contact","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","radio","valid visa label more than 3 months: yes","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","checkbox","agree t&c","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","button","continue the application","application","wechat","zh_cn"
"/dual-account-opening/cn-appointment-booking","wechat:dual account opening:cn appointment booking","","","","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage","wechat:dual account opening:hk account usage","","","","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage","wechat:dual account opening:hk account usage","content","checkbox","remuneration purpose","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage","wechat:dual account opening:hk account usage","content","checkbox","deposit purpose","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage/atm-pin","wechat:dual account opening:hk account usage:atm pin","","","","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage/atm-pin","wechat:dual account opening:hk account usage:atm pin","content","checkbox","marketing preferences: sms","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage/atm-pin","wechat:dual account opening:hk account usage:atm pin","content","checkbox","marketing preferences: email","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","","","","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","","","","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","checkbox","deposit purpose","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","dropdown","oversea destination: HK","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","apply cn account and oversea account","application","wechat","zh_cn"
"/dual-account-opening/scan-id","wechat:dual account opening:scan id","","","","application","wechat","zh_cn"
"/dual-account-opening/scan-id","wechat:dual account opening:scan id","content","popup","instructions","application","wechat","zh_cn"
"/dual-account-opening/scan-id","wechat:dual account opening:scan id","error","upload","upload error: [id_upload_issue] ocrwrongsideexception:occured an error when requesting to ocrpapi:wrong side cause-feignhandlingexception:[client_service_err] feignexception! methodkey:ocrpapiclient#getocrinfo(papiocrrequest), url:http://hkg3vl7515o.hk.hsbc:17203/api/ocr/info, status:510, body:errorresponse(responsestatus=responsestatus(requestcorrelation=36654dcb-519e-43b1-81fb-ce22f40dd42d, sessioncorrelation=502acddb-121d-41fe-8a0d-5e53ff8ca999, errorinfo=[errorinfo(code=id_upload_issue, message=sorry, something went wrong. please contact your local hsbc bank, details=[id_upload_issue] ocrwrongsideexception:[id_upload_issue] ocrwrongsideexception:please make sure you're uploading the correct side of your id cause-feignhandlingexception:[client_service_err] feignexception! methodkey:ocrsapiclient#getocrinfo(sapiocrrequest), url:http://hkg3vl7515o.hk.hsbc:17303/api/ocr/info, status:510, body:errorresponse(responsestatus=responsestatus(requestcorrelation=36654dcb-519e-43b1-81fb-ce22f40dd42d, sessioncorrelation=502acddb-121d-41fe-8a0d-5e53ff8ca999, errorinfo=[errorinfo(code=id_upload_issue, message=sorry, something went wrong. please contact your local hsbc bank, details=[id_upload_issue] ocrwrongsideexception:please make sure you're uploading the correct side of your id)])))]))","application","wechat","zh_cn"
"/dual-account-opening/personal-details","wechat:dual account opening:personal details","","","","application","wechat","zh_cn"
"/dual-account-opening/contact-details","wechat:dual account opening:contact details","","","","application","wechat","zh_cn"
"/dual-account-opening/employment-details","wechat:dual account opening:employment details","","","","application","wechat","zh_cn"
"/dual-account-opening/employment-details","wechat:dual account opening:employment details","content","dropdown","ocupation: general_staff","application","wechat","zh_cn"
"/dual-account-opening/employment-details","wechat:dual account opening:employment details","content","dropdown","country of tax residency: cn","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","","","","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","checkbox","remuneration purpose","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","radio","deposit contributers: no","application","wechat","zh_cn"
"/dual-account-opening/terms-and-conditions","wechat:dual account opening:terms and conditions","","","","application","wechat","zh_cn"
"/dual-account-opening/terms-and-conditions","wechat:dual account opening:terms and conditions","content","dropdown","branch: GZH","application","wechat","zh_cn"
"/dual-account-opening/terms-and-conditions","wechat:dual account opening:terms and conditions","content","radio","mailing address: office","application","wechat","zh_cn"
"/dual-account-opening/terms-and-conditions","wechat:dual account opening:terms and conditions","content","radio","mailing address: others","application","wechat","zh_cn"
"/dual-account-opening/terms-and-conditions","wechat:dual account opening:terms and conditions","content","radio","mailing address: office","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","","","","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","radio","valid entry-exit permit more than 3 months: no","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","radio","valid entry-exit permit more than 3 months: yes","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","radio","valid visa label more than 3 months: no","application","wechat","zh_cn"
"/cat-i-account-opening/name-and-phone","wechat:cat i account opening:name and phone","","","","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","","","","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","","","","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","","","","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","radio","deposit contributers: no","application","wechat","zh_cn"
"/dual-account-opening/terms-and-conditions","wechat:dual account opening:terms and conditions","","","","application","wechat","zh_cn"
"/dual-account-opening/terms-and-conditions","wechat:dual account opening:terms and conditions","content","radio","mailing address: office","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","","","","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","radio","valid entry-exit permit more than 3 months: no","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","radio","valid visa label more than 3 months: no","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","popup","need to accept the t&c","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","button","continue the application","application","wechat","zh_cn"
"/dual-account-opening/cn-appointment-booking","wechat:dual account opening:cn appointment booking","","","","application","wechat","zh_cn"
"/cn-account-opening/confirmation","wechat:cn account opening:confirmation","","","","application","wechat","zh_cn"
"/cat-i-account-opening/name-and-phone","wechat:cat i account opening:name and phone","","","","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","","","","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","","","","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","checkbox","deposit purpose","application","wechat","zh_cn"
"/dual-account-opening/personal-details","wechat:dual account opening:personal details","","","","application","wechat","zh_cn"
"/dual-account-opening/contact-details","wechat:dual account opening:contact details","","","","application","wechat","zh_cn"
"/dual-account-opening/employment-details","wechat:dual account opening:employment details","","","","application","wechat","zh_cn"
"/dual-account-opening/employment-details","wechat:dual account opening:employment details","content","dropdown","ocupation: student","application","wechat","zh_cn"
"/dual-account-opening/employment-details","wechat:dual account opening:employment details","content","dropdown","country of tax residency: cn","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","","","","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","radio","deposit contributers: no","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","checkbox","remuneration purpose","application","wechat","zh_cn"
"/dual-account-opening/terms-and-conditions","wechat:dual account opening:terms and conditions","","","","application","wechat","zh_cn"
"/dual-account-opening/terms-and-conditions","wechat:dual account opening:terms and conditions","content","dropdown","branch: GZH","application","wechat","zh_cn"
"/dual-account-opening/terms-and-conditions","wechat:dual account opening:terms and conditions","content","radio","mailing address: home","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","","","","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","radio","valid entry-exit permit more than 3 months: no","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","radio","valid visa label more than 3 months: no","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","radio","valid entry-exit permit more than 3 months: yes","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","radio","valid visa label more than 3 months: yes","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","checkbox","agree t&c","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","button","continue the application","application","wechat","zh_cn"
"/dual-account-opening/cn-appointment-booking","wechat:dual account opening:cn appointment booking","","","","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage","wechat:dual account opening:hk account usage","","","","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage","wechat:dual account opening:hk account usage","content","checkbox","remuneration purpose","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage/atm-pin","wechat:dual account opening:hk account usage:atm pin","","","","application","wechat","zh_cn"
"/dual-account-opening/confirmation","wechat:dual account opening:confirmation","","","","application","wechat","zh_cn"
"/cat-i-account-opening/name-and-phone","wechat:cat i account opening:name and phone","","","","application","wechat","zh_cn"
"/cat-i-account-opening/overview","wechat:cat i account opening:overview","","","","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","","","","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","","","","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","checkbox","deposit purpose","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","dropdown","oversea destination: HK","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","apply cn account and oversea account","application","wechat","zh_cn"
"/dual-account-opening/scan-id","wechat:dual account opening:scan id","","","","application","wechat","zh_cn"
"/dual-account-opening/scan-id","wechat:dual account opening:scan id","content","popup","instructions","application","wechat","zh_cn"
"/dual-account-opening/scan-id","wechat:dual account opening:scan id","error","upload","upload error: [id_nonclear_issue] ocrnotclearexception:occured an error when requesting to ocrpapi:failed to recognize the image,please capture a new one cause-feignhandlingexception:[client_service_err] feignexception! methodkey:ocrpapiclient#getocrinfo(papiocrrequest), url:http://hkg3vl7515o.hk.hsbc:17203/api/ocr/info, status:510, body:errorresponse(responsestatus=responsestatus(requestcorrelation=0b20bf4a-3708-4daf-b08e-b7b9ff1c2142, sessioncorrelation=90c0f4e0-52a5-41fa-b4f3-f2dfb0ccafd2, errorinfo=[errorinfo(code=id_nonclear_issue, message=sorry, something went wrong. please contact your local hsbc bank, details=[id_nonclear_issue] ocrnotclearexception:[id_nonclear_issue] ocrnotclearexception:verify the ocr info failed,please take a new picture.ocr_02 cause-feignhandlingexception:[client_service_err] feignexception! methodkey:ocrsapiclient#getocrinfo(sapiocrrequest), url:http://hkg3vl7515o.hk.hsbc:17303/api/ocr/info, status:510, body:errorresponse(responsestatus=responsestatus(requestcorrelation=0b20bf4a-3708-4daf-b08e-b7b9ff1c2142, sessioncorrelation=90c0f4e0-52a5-41fa-b4f3-f2dfb0ccafd2, errorinfo=[errorinfo(code=id_nonclear_issue, message=sorry, something went wrong. please contact your local hsbc bank, details=[id_nonclear_issue] ocrnotclearexception:verify the ocr info failed,please take a new picture.ocr_02)])))]))","application","wechat","zh_cn"
